Country,Company
Brazil,Vivo (Telefonica Brazil)
Brazil,Vivo (Telefonica)
Brazil,Vivo - CRT (Merged Q1 2006)
Brazil,Vivo - TCO (Merged Q1 2006)
Brazil,Vivo - Tele Leste (Merged Q1 2006)
Brazil,Vivo - Tele Sudeste (Merged Q1 2006)
Brazil,Vivo - TeleSP (Merged Q1 2006)
Brazil,aeiou (Unicel) (Closed Q2 2011)
British Indian Ocean Territory,Sure (Batelco)
British Virgin Islands,Caribbean Cellular Telephone
British Virgin Islands,Digicel British Virgin Islands
British Virgin Islands,Flow British Virgin Islands
Brunei,B-Mobile Brunei
Brunei,DSTCom
Brunei,Imagine
Brunei,Progresif Cellular
Brunei Darussalam,DST
Brunei Darussalam,Imagine
Brunei Darussalam,Progresif
Bulgaria,A1
Bulgaria,A1 (A1 Telekom Austria)
Bulgaria,A1 Bulgaria
Bulgaria,BTC Mobile
Bulgaria,Bulgarian Telecommunications Company (BTC)
Bulgaria,Bulsatcom
Bulgaria,Bulsatcom (Closed Q4 2021)
Bulgaria,MAX (Closed Q1 2017)
Bulgaria,Other
Bulgaria,T.Com (Closed Q4 2021)
Bulgaria,T.com
Bulgaria,VIVACOM
Bulgaria,VIVACOM (United)
Bulgaria,Vivacom
Bulgaria,Yettel
Bulgaria,Yettel (PPF)
Bulgaria,Yettel Bulgaria
Burkina Faso,Moov Africa (Maroc Telecom)
Burkina Faso,Moov Africa Burkina Faso
Burkina Faso,Orange
Burkina Faso,Orange Burkina Faso
Burkina Faso,SKYNET
Burkina Faso,Telecel Burkina Faso
Burkina Faso,Telecel Faso (Planor afrique)
Burkina Faso,Zain Burkina Faso
Burundi,Africell
Burundi,Econet Wireless
Burundi,Econet Wireless (Merged Q1 2015)
Burundi,Econet Wireless Burundi
Burundi,Lumitel
Burundi,Lumitel (Viettel)
Burundi,ONAMOB (ONATEL)
Burundi,Onatel Burundi
Burundi,Smart (Closed Q3 2022)
Burundi,Smart Burundi
Burundi,Spacetel Burundi
Burundi,TEMPO (VTEL) (Closed Q1 2015)
Burundi,U-COM Burundi
Cabo Verde,CVMovel (Cabo Verde Telecom)
Cabo Verde,Unitel T+
Cambodia,Applifone
Cambodia,Beeline (Sotelco) (Merged Q1 2015)
Cambodia,CaSaCom
Cambodia,Cadcomms
Cambodia,Camtel (Closed Q4 2002)
Cambodia,Camtel Cambodia
Cambodia,Cellcard
Cambodia,Cellcard (MobiTel)
Cambodia,CooTel
Cambodia,CooTel (Xinwei Telecom)
Cambodia,Excell (GT-TELL) (Closed Q2 2015)
Cambodia,GT-TELL
Cambodia,Hello (Axiata) (Merged Q1 2013)
Cambodia,Hello Axiata Cambodia
Cambodia,KingTel
Cambodia,Latelz
Cambodia,MetFone (Viettel)
